全国地方公共団体コード,都道府県名,市区町村名,集計時点_年月日,曜日,検査実施人数,,
330001,岡山県,,2021/8/24,火,19,,
330001,岡山県,,2021/8/25,水,28,,
330001,岡山県,,2021/8/26,木,20,,
330001,岡山県,,2021/8/27,金,42,,
330001,岡山県,,2021/8/28,土,,,
330001,岡山県,,2021/8/29,日,,,
330001,岡山県,,2021/8/30,月,37,,
330001,岡山県,,2021/8/31,火,43,,
330001,岡山県,,2021/9/1,水,79,,
330001,岡山県,,2021/9/2,木,29,,
330001,岡山県,,2021/9/3,金,30,,
330001,岡山県,,2021/9/4,土,,,
330001,岡山県,,2021/9/5,日,,,
330001,岡山県,,2021/9/6,月,35,,
330001,岡山県,,2021/9/7,火,89,,
330001,岡山県,,2021/9/8,水,83,,
330001,岡山県,,2021/9/9,木,23,,
330001,岡山県,,2021/9/10,金,27,,
330001,岡山県,,2021/9/11,土,,,
330001,岡山県,,2021/9/12,日,,,
330001,岡山県,,2021/9/13,月,4,,
330001,岡山県,,2021/9/14,火,54,,
330001,岡山県,,2021/9/15,水,33,,
330001,岡山県,,2021/9/16,木,4,,
330001,岡山県,,2021/9/17,金,18,,
330001,岡山県,,2021/9/18,土,,,
330001,岡山県,,2021/9/19,日,,,
330001,岡山県,,2021/9/20,月,,,
330001,岡山県,,2021/9/21,火,24,,
330001,岡山県,,2021/9/22,水,,,
330001,岡山県,,2021/9/23,木,,,
330001,岡山県,,2021/9/24,金,3,,
330001,岡山県,,2021/9/25,土,,,
330001,岡山県,,2021/9/26,日,,,
330001,岡山県,,2021/9/27,月,29,,
330001,岡山県,,2021/9/28,火,,,
330001,岡山県,,2021/9/29,水,7,,
330001,岡山県,,2021/9/30,木,,,
330001,岡山県,,2021/10/1,金,1,,
330001,岡山県,,2021/10/2,土,,,
330001,岡山県,,2021/10/3,日,,,
330001,岡山県,,2021/10/4,月,4,,
330001,岡山県,,2021/10/5,火,,,
330001,岡山県,,2021/10/6,水,4,,
330001,岡山県,,2021/10/7,木,,,
330001,岡山県,,2021/10/8,金,4,,
330001,岡山県,,2021/10/9,土,,,
330001,岡山県,,2021/10/10,日,,,
330001,岡山県,,2021/10/11,月,,,
330001,岡山県,,2021/10/12,火,4,,
330001,岡山県,,2021/10/13,水,2,,
330001,岡山県,,2021/10/14,木,,,
330001,岡山県,,2021/10/15,金,,,
330001,岡山県,,2021/10/16,土,,,
330001,岡山県,,2021/10/17,日,,,
330001,岡山県,,2021/10/18,月,2,,
